第一闭环核验执行队列ID,来源第一闭环页列包,来源第一闭环复核公开账本,来源第一闭环任务复核公开账本,来源第一闭环私有预填公开审计,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,执行优先级说明,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,第一闭环私有预填公开审计ID,来源页码,版面列,页码版面键,第一闭环页列优先级,页列总任务数,自动官网辅证任务数,P0人工字段任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,专业计划数字段任务数,再选科目字段任务数,学费字段任务数,高校辅证线索任务数,含高校计划数线索任务数,含高校学费线索任务数,含高校选科线索任务数,公共高校来源文件任务数,公共高校来源文件数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,任务级人工动作桶摘要,页列首要核验动作,私有复核页列CSV证据编号,私有复核页列CSV_SHA256,私有复核页列HTML证据编号,私有复核页列HTML_SHA256,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,第一闭环PDF原页完成任务数,第一闭环湖北官方完成任务数,第一闭环高校辅证完成任务数,第一闭环字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,完成条件,当前阻断原因,字段事实写回状态,公开安全策略,下一步
FIRSTEXEC-d6c25bfbf7838eed,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,11,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-6877343afbe11307,FIRSTREVIEW-6877343afbe11307,FIRSTPREFILLAUDIT-6877343afbe11307,40,right,040-right,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-040-right-csv,b13ec5f26d30602dbd5292ea331822813ec393dd2eaddf10c028c249e88b8bbf,first-closure-040-right-html,ab2e0003f208a79112417c197965713ec8f98a0dd14f319e8f8fc0c9ce4616ae,FIRST-CLOSURE-PREFILL-CSV-040-right,258a0b0766673df34b35a2578a4535cfe731e956e3fb18c79fdc8a1e856d495a,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-d5c22e054a46950f,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,12,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-cc413d4ed28b64a8,FIRSTREVIEW-cc413d4ed28b64a8,FIRSTPREFILLAUDIT-cc413d4ed28b64a8,43,left,043-left,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-043-left-csv,bb896cb0de82a29d3199039d87a6ab89e66f7a3fb5b234e059a83c3f86d1d62f,first-closure-043-left-html,5509e94281347ba9fd4782f77f6caf4e342abc188730ab4400726919adc74ede,FIRST-CLOSURE-PREFILL-CSV-043-left,2cef05969ebd8656c1f99a252bb0fa612d7689e5f1ee91eae04a88d1d41db6a7,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-9453ddd744d297c5,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,13,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-b1715d7e0fecab9a,FIRSTREVIEW-b1715d7e0fecab9a,FIRSTPREFILLAUDIT-b1715d7e0fecab9a,53,right,053-right,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的学费，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-053-right-csv,f70b8d8c12a4e16ee3101bacb65e1d8679dcf331bbc21d560bacc6937cb62f34,first-closure-053-right-html,1ad7232f60919840df40ed73c1341308f263d8355a1b9f6e0b9a78cd5f59ea50,FIRST-CLOSURE-PREFILL-CSV-053-right,c1bc882d0f1e83366d754285fb8288864adc0e53eaba173b2a7cead8a0ce2637,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-440cbfb88696a9b3,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,14,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-b07fea137a292b98,FIRSTREVIEW-b07fea137a292b98,FIRSTPREFILLAUDIT-b07fea137a292b98,93,left,093-left,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的学费，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-093-left-csv,7cb54a1a4f5b8f95638be97026e645bd265dccb4961200367ccf222bb137decf,first-closure-093-left-html,ffa617e7ea4b20e16bc2475df033099504639a67708e128e4e84cdad596bba31,FIRST-CLOSURE-PREFILL-CSV-093-left,8d2e60dd8a575a773e10db531e7807950b951f5fca5d0d3aa5f05249a257025d,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-eadd6c09a4933f3e,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,15,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-a766473a37caa4de,FIRSTREVIEW-a766473a37caa4de,FIRSTPREFILLAUDIT-a766473a37caa4de,141,left,141-left,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的学费，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-141-left-csv,6a02e5d4aad83cbf33eb0bb41eed5c934ae6135e87d2e678c25063e78409239d,first-closure-141-left-html,45820c8f8ba3399f4016a10cc434d0ce350e89a4ef185b963f220a321501a102,FIRST-CLOSURE-PREFILL-CSV-141-left,36e8159b44d31f6b1e94e7b6e63b703e70ea72cbcc38d741642d0e89c007e1cb,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-36e4a9241ca624bf,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,16,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-44afa6d6e4d84e5a,FIRSTREVIEW-44afa6d6e4d84e5a,FIRSTPREFILLAUDIT-44afa6d6e4d84e5a,205,left,205-left,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的学费，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-205-left-csv,9eb6d939c8286f6bd270991ef25eb46247ebf527dc690519dc8d204a2ee650d0,first-closure-205-left-html,6d5e6874917a821081f60eccf685f3db7ba2e320c1f3dd04945f660523dff738,FIRST-CLOSURE-PREFILL-CSV-205-left,a6472b564c17e2bf4e31321b0c31e9a58ac9cad210a65d48a6ae76165785ea27,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-a12ffa466fd37c93,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,17,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-878b34b3141f5010,FIRSTREVIEW-878b34b3141f5010,FIRSTPREFILLAUDIT-878b34b3141f5010,235,right,235-right,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-235-right-csv,8d24add9f9e00397aba790d766cc0ac09855c16e614c804c5bf2e08bfd5b1df4,first-closure-235-right-html,adcaa9f20c397145bb9c11b701244aaf253b7aeccef97d609ba85f7e011bc841,FIRST-CLOSURE-PREFILL-CSV-235-right,5fafdb5d17f852dff9f0f91c11bbd6dcaf851b05485978e377e19296721c2fbe,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-73b0a25fb79c3ba0,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,18,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核；E1-计划数补缺或偏大优先核验；任务39条，双人复核5条,FIRSTPAGE-b55961124bc8610b,FIRSTREVIEW-b55961124bc8610b,FIRSTPREFILLAUDIT-b55961124bc8610b,226,left,226-left,Q1-补缺或计划数偏大页列先核,39,20,19,39,39,39,5,19,0,0,19,19,0,19,19,1,0,19,1,0,0,19,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:38；先确认专业名和限定词归属，再决定是否继续核字段:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-226-left-csv,7345d98c1d0708be2cf5c24dd141580ea36b28c34b4b3738c093b80f4c002ee8,first-closure-226-left-html,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,FIRST-CLOSURE-PREFILL-CSV-226-left,8781d049a69e746f9ca926a377c63bff9f6fe8c03760752d6b8f529750fb1691,0,0,0,0,false,false,PDF原页记录完成=39；湖北官方侧记录完成=39或记录官方系统不可得状态；高校辅证记录完成=39；双人复核完成=5；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-22d38f2cb9b80476,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,19,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核；E1-计划数补缺或偏大优先核验；任务8条，双人复核2条,FIRSTPAGE-551d0b213dbd2529,FIRSTREVIEW-551d0b213dbd2529,FIRSTPREFILLAUDIT-551d0b213dbd2529,109,left,109-left,Q1-补缺或计划数偏大页列先核,8,4,4,8,8,8,2,4,0,0,4,4,4,0,4,1,0,4,0,0,0,4,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:8,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-109-left-csv,83b62e3e4c1213ca52d3ad72cc882a55d2c08d1923e3c00773e5eaefd4fb9d7e,first-closure-109-left-html,229c11845f67b247fd4d5f8cfecab9acee48b2713c965786ef24a9939364e4d1,FIRST-CLOSURE-PREFILL-CSV-109-left,98c102749b4ec362861fca8988b36e2a26ac9653ffdf480df8396f80bc4b0ae6,0,0,0,0,false,false,PDF原页记录完成=8；湖北官方侧记录完成=8或记录官方系统不可得状态；高校辅证记录完成=8；双人复核完成=2；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-9458745b1415558a,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,20,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核；E1-计划数补缺或偏大优先核验；任务4条，双人复核2条,FIRSTPAGE-ed94df7696953cc5,FIRSTREVIEW-ed94df7696953cc5,FIRSTPREFILLAUDIT-ed94df7696953cc5,226,right,226-right,Q1-补缺或计划数偏大页列先核,4,2,2,4,4,4,2,2,0,0,2,2,2,2,2,1,0,2,0,0,0,2,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:4,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-226-right-csv,33109f0093ab3e76404a85a10aee6187eab51f596b25297a0c6c98c71a4ef8f4,first-closure-226-right-html,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,FIRST-CLOSURE-PREFILL-CSV-226-right,2ae08628dfc9bfb3761bc177b8199df3a9c96099d4829706dd4073dfdc50efed,0,0,0,0,false,false,PDF原页记录完成=4；湖北官方侧记录完成=4或记录官方系统不可得状态；高校辅证记录完成=4；双人复核完成=2；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-15418e56c9b437c0,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,21,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核；E1-计划数补缺或偏大优先核验；任务2条，双人复核2条,FIRSTPAGE-38a317f5bf72d0ce,FIRSTREVIEW-38a317f5bf72d0ce,FIRSTPREFILLAUDIT-38a317f5bf72d0ce,38,right,038-right,Q1-补缺或计划数偏大页列先核,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,重点核专业计划数是否误读为学费或串列，并核湖北官方侧:2,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-038-right-csv,d33ca55018c447ccfb203f2c44ce97223f1cf77eb9de69cef38ef5dfdc4af45a,first-closure-038-right-html,5760c40a65f37507754993c443f5521f80bef8e5f6db46b52e5a3888b93888d3,FIRST-CLOSURE-PREFILL-CSV-038-right,f3b115089de1b71ca77aa84314996da2866c668950cddfc82f2f4ac643a78d43,0,0,0,0,false,false,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=2；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-ccac3d29a794177b,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,22,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核；E1-计划数补缺或偏大优先核验；任务2条，双人复核2条,FIRSTPAGE-cfa201a8f79e7d0e,FIRSTREVIEW-cfa201a8f79e7d0e,FIRSTPREFILLAUDIT-cfa201a8f79e7d0e,82,right,082-right,Q1-补缺或计划数偏大页列先核,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,重点核专业计划数是否误读为学费或串列，并核湖北官方侧:2,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-082-right-csv,6cfcb6d8c10392641877c77493617d826e8bda87040f13ee4932dc805659ae60,first-closure-082-right-html,da79f363ec517c799fef01c0cf80bd3f7fcc93f4d78f8c0c021880db859575cd,FIRST-CLOSURE-PREFILL-CSV-082-right,67d2717c52d7f7544b32c7815452406d1fd1502e13f5de89f253557988fbf4b4,0,0,0,0,false,false,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=2；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
