第一闭环事实准入页列汇总ID,来源第一闭环事实准入门禁账本,来源第一闭环事实进度页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,事实类型分布,准入阻断等级分布,核验动作层级分布,执行泳道分布,W0B0命中事实数,高校源double_check事实数,PDF湖北官方先行事实数,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,结构化接入候选事实数,PDF待核事实数,湖北官方待核事实数,准入总状态分布,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,证据集合SHA16,页列准入动作,公开安全策略
FCFACTGATEPAGE-9453ddd744d297c5,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,11,053-right,53,right,2,1,0,1,1,1,专业组边界事实×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,a2963e9e29b15256,d50f1d6657cd1231,1b9997d0d2b2ce31,dc235adee8fef999,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-49dfd962eacfb463,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,12,056-left,56,left,32,30,1,1,16,2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×15；字段事实-再选科目×7；字段事实-学费×8,G0-W0B0核心事实优先阻断×5；G1-B0同页伴生事实阻断×27,N0-先双人核PDF原页冲突×3；N1-高校补缺线索回PDF原页×18；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N4-PDFOCR候选人工确认×2；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×32,5,3,2,32,4,30,4,32,32,blocked_not_ready_for_next_stage×32,eb529bdba7f5711b,ba8efc01022de607,e171c52ec8cc8e00,94e47feac76869b7,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-f96632d08a87c463,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,13,057-left,57,left,4,2,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×4,0,0,0,0,0,2,0,4,4,blocked_not_ready_for_next_stage×4,9a70a3aec90e4c89,caa6b829247f35e8,8f84db9a9b75369c,7027eaafd310f717,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-e6bb7a68cf2f9948,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,14,070-left,70,left,4,2,1,1,2,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1,G2-结构事实PDF湖北官方先行×2；G3-双人复核待完成×1；G6-常规PDF湖北官方闭环待完成×1,N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×2；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×4,0,0,0,0,1,2,0,4,4,blocked_not_ready_for_next_stage×4,a651ea37f3c11e91,4d3edfee1e74ceda,9fd3efd1c6e4aa5c,a110e301554e583e,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-f8f6bd246859ef8f,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,15,070-right,70,right,31,19,11,1,11,1,专业名归属事实×11；专业组边界事实×1；字段事实-专业计划数×7；字段事实-再选科目×1；字段事实-学费×11,G2-结构事实PDF湖北官方先行×12；G6-常规PDF湖北官方闭环待完成×19,N4-PDFOCR候选人工确认×30；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×31,0,0,0,0,0,19,0,31,31,blocked_not_ready_for_next_stage×31,234c294680177548,361dcd0eb0b9fc64,9fd3efd1c6e4aa5c,93480a2256f8adbe,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-436561705643ed1d,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,16,080-right,80,right,38,19,18,1,18,1,专业名归属事实×18；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×17；字段事实-学费×1,G2-结构事实PDF湖北官方先行×19；G3-双人复核待完成×17；G6-常规PDF湖北官方闭环待完成×2,N3-无稳定候选人工看图×34；N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×38,0,0,0,0,34,36,0,38,38,blocked_not_ready_for_next_stage×38,39f49d044d6c7dcf,b88cbc7c0a804165,f0d53abbf1e2b5c3,96c3baca817ada72,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-566910e5591006db,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,17,081-left,81,left,4,2,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×4,0,0,0,0,0,2,0,4,4,blocked_not_ready_for_next_stage×4,f9fd416212b9c743,e98fe92f2fbf49df,f0d53abbf1e2b5c3,c021a409da112e33,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-ccac3d29a794177b,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,18,082-right,82,right,3,2,0,1,2,1,专业组边界事实×1；字段事实-专业计划数×2,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2,N2-机器坐标辅助核PDF原页×2；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×3,0,0,0,0,2,2,0,3,3,blocked_not_ready_for_next_stage×3,9d2f3f2040968e21,e3ac0d0fd3ef2f0f,1ce846951063accf,53323c2dcb48a660,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-440cbfb88696a9b3,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,19,093-left,93,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,4a0784f6eff27a7f,ae2df87d63bcf9d1,f4e5570aeafff0fa,d5bb55ffcfb1cba6,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-d6be3fcb12ff43f9,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,20,096-right,96,right,3,1,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×1,N4-PDFOCR候选人工确认×2；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×3,0,0,0,0,0,1,0,3,3,blocked_not_ready_for_next_stage×3,57e23f400a952a3d,952f2610c4fdd1ef,4a75d61ffc947153,4f371d3408829504,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-7a49e3a90213d8a4,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,21,102-left,102,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,e1c929bd28889199,8ae05f0f2e1cac11,761de3869be98128,744a9aabe5a52152,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-22d38f2cb9b80476,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,22,109-left,109,left,15,14,0,1,8,1,专业组边界事实×1；字段事实-专业计划数×8；字段事实-再选科目×2；字段事实-学费×4,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2；G4-人工看图待完成×2；G6-常规PDF湖北官方闭环待完成×10,N3-无稳定候选人工看图×4；N5-多源一致仍待湖北官方侧×10；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×15,0,0,0,0,2,14,0,15,15,blocked_not_ready_for_next_stage×15,ca9ee928e43a2526,3bb933eefdfbe31d,53ebdedba422190c,54f5f8e35f7cc3a3,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-2fe31f8f7c0833de,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,23,135-left,135,left,22,21,0,1,10,1,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,G0-W0B0核心事实优先阻断×22,N0-先双人核PDF原页冲突×21；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×22,22,21,1,22,22,21,0,22,22,blocked_not_ready_for_next_stage×22,b9997a61561ca9b5,4b5c932e832ca2fe,8920ff86c3af081e,0c41845bf9ed1b17,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
