稳定基座最小人工闭环任务ID,来源P0即时字段确认公开账本,来源P0页列执行进度公开账本,来源稳定基座逐专业筛选视图,来源自动交叉核验工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,P0即时字段确认公开账本ID,P0字段即时复核任务ID,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,页码版面键,字段名,专业组内专业序号,专业代号OCR,专业名称及备注短摘,人工核验泳道,人工核验方式,执行批次,页列执行进度桶,裁图证据编号,裁图文件SHA256,裁图规格SHA256,裁图bbox归一化,是否需要双人复核,是否有高校字段线索,是否裁图OCR与机器候选冲突,是否裁图OCR与高校辅证冲突,是否机器高校冲突,高校官网证据强度,高校官网证据匹配状态,高校官网来源状态,同专业官网辅证自动动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,最小人工闭环阶段,人工必做步骤,人工工作量压缩方式,公开安全策略,下一步
STABLEMANUAL-e45a6b4e88004b74,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-e45a6b4e88004b74,P0IMMEDIATE-ce5d9dfabfa3ff10,M-f06016c6a1718579,G-43eaec6deac85123,C150,武汉商学院,C15003,80,right,080-right,再选科目,21,40,电子商务（大一在马影河校区就读，大三起在后官湖校区就读）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-c970d68679886aed,9c9a82905dc39d40249c1aaf632e7f365cffd022e0b296e16f2c513abed1bc1c,d5495d9a9bdecb719d2a6e838e4d6107c175f61141be438016532de94d065a76,x=0.448000-0.957000;y_bottom_origin=0.367041-0.463419,true,true,false,false,false,field_support,matched,has_reusable_2026_hubei_plan_source,C3-字段辅证补充结构化后核原页,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-3ced2ac913322b5d,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-3ced2ac913322b5d,P0IMMEDIATE-9058b91ecc8fae08,M-f68c394eeefc5273,G-43eaec6deac85123,C150,武汉商学院,C15003,80,right,080-right,再选科目,9,29,酒店管理（大一在马影河校区就读，大二起在后官湖校区就读）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-bba9cca64ff60516,f42f73f8b039112a09646001ef9845f249b279aaf43722419f578538f4504c71,4a07bfc4926d8c7ca469d57f2e5967026fe5063f5aa3c3996add6dcf2d0bab9e,x=0.448000-0.957000;y_bottom_origin=0.661155-0.758477,true,true,false,false,false,field_support,matched,has_reusable_2026_hubei_plan_source,C3-字段辅证补充结构化后核原页,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-a6dd8e4a5a8625f3,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-a6dd8e4a5a8625f3,P0IMMEDIATE-544ed77c38c9cc7d,M-f86b6ae14e4edb59,G-43eaec6deac85123,C150,武汉商学院,C15003,80,right,080-right,再选科目,5,25,经济与金融（大一在马影河校区就读，大二起在后官湖校区就读）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-9145f299d8547ec4,f08c98485f3107c7c0a9a1e7700d35298abb231ba7fbc26aacd3b370df7758a8,3610b81c36deab2bbaac8b4dd54c56afc53a49e6b212df3fa4dc767183de8604,x=0.448000-0.957000;y_bottom_origin=0.746632-0.849950,true,true,false,false,false,field_support,matched,has_reusable_2026_hubei_plan_source,C3-字段辅证补充结构化后核原页,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-2821c4c35a49cd97,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-2821c4c35a49cd97,P0IMMEDIATE-374d38f5eca26eb8,M-51215ebfd6e9c1fb,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,left,109-left,专业计划数,1,15,应用化学,M3-多源一致快速三方核验,三方线索优先核验,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-7b28e8b2b8f7e2df,e1227e4b9236efea49dfa31d07461c00ad03da7ce323050fb759bb8d25981772,f2a67c4a52dbad4410f468282dd486e84f4052d18f8364b7ca63ab28240e08e3,x=0.043000-0.552000;y_bottom_origin=0.446992-0.543537,false,true,false,false,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-7dceafdedc6c57db,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-7dceafdedc6c57db,P0IMMEDIATE-cc008642ed510973,M-68e8615d3ab753b9,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,left,109-left,专业计划数,3,17,数据科学与大数据技术,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-1bbd4dcbefc44885,750bf506a72f9e047eae1d793862b1b797936de08249ee4a4e54d08daf708991,c9909dfeda9ccd8a8f7cd26547b2ba1c5e80fa62b4d0cd79058445a73b1967ec,x=0.043000-0.552000;y_bottom_origin=0.421396-0.543537,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-81c7bda2a5eb5ef0,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-81c7bda2a5eb5ef0,P0IMMEDIATE-a23f08abc69f55c3,M-6eb339aae881b3aa,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,left,109-left,专业计划数,2,16,数字媒体技术,M3-多源一致快速三方核验,三方线索优先核验,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-442afea894268b53,bd025ae430faee9410c5879553c2d697ba68b876b013332e11d190e232908547,1e56113b7cfa438bc1a916dbc39b7d57854b0fa5a59a0bc4eea92b192621e8d5,x=0.043000-0.552000;y_bottom_origin=0.434401-0.543537,false,true,false,false,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-4ca80cee9085420d,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-4ca80cee9085420d,P0IMMEDIATE-ca378b3b65001d45,M-b11b9f49fcb51333,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,left,109-left,专业计划数,4,18,计算机科学与技术（师范类）,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-1d5aab758e4dcd19,8da48755ac863f017a8f01b861abaeede2d66d148d96b6440989b559271efef0,b866f9ed2e40a275badfa19d0294192845c3fc388c0900ee9f5ae35617b8d2c3,x=0.043000-0.552000;y_bottom_origin=0.408278-0.543537,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-69112db3260abaf7,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-69112db3260abaf7,P0IMMEDIATE-bf09d0c7e494c9f5,M-07561f2ddca7868c,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,137-left,专业计划数,6,18,数学类（数学与应用数学、信息与计算科学：办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-d00984d735ca86ea,50e5a26c35f1bbf5eab98855de51638f747bd23c938ef2fa40a27c5f31eb6a74,b07dd78a86d50e835829254023d87bbd21941e1f2f4fe3be3f9db2ebc9b8045d,x=0.043000-0.695083;y_bottom_origin=0.179634-0.447602,true,true,false,false,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-da39bd272d895d0d,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-da39bd272d895d0d,P0IMMEDIATE-f4eb22bb3eb102ab,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,10,48,数字媒体技术,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-597cfb817ecd6059,fd9c491a2dd8c0a447382836a403a6596391db9f957e2fb366557381d1db28e6,42ca4ae12311faaeeb5db1ab4fe753b5fcb118b3754c3586b31b06318ba20007,x=0.448000-0.957000;y_bottom_origin=0.140609-0.351667,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-f08d4fbb2414e59c,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-f08d4fbb2414e59c,P0IMMEDIATE-e2da38ba0c52fbbf,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,12,50,应急技术与管理,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-25b6acc16249d2c0,f8e896c203194b87dde759788ac0a202c8d6e695afc9cadb7aa38c53fad2c18d,184974a35bd0b80d5f0698d8fa206729b060493438624b6a26772fa120a0ba0f,x=0.448000-0.957000;y_bottom_origin=0.113256-0.351667,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-372f397c90735530,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-372f397c90735530,P0IMMEDIATE-82503f3f005e5015,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,14,52,集成电路设计与集成系统,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-b52ca85c9922362e,292eded429015e26db8a6dbbdf16203762af2ad9b146bbbdafc70a6651a1346e,0486841d3ce99eedda6b44f22e9bb53fab002c829e4d97be72a94ac46f1df91a,x=0.448000-0.957000;y_bottom_origin=0.086974-0.351667,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-a3595db7968f4b96,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-a3595db7968f4b96,P0IMMEDIATE-19ebaf4d1cd53bbe,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,13,51,数据计算及应用,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-6c370f918a93d3c4,c4a1826d6bd3a8aef1075137795d2a943a200ed730308048424e67572812bf8e,62fbcbbc66ed2697035fe6dbba238aa208c548b757021a1de57cc6e47ee5da26,x=0.448000-0.957000;y_bottom_origin=0.100130-0.351667,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-3b1dbbdc604785fd,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-3b1dbbdc604785fd,P0IMMEDIATE-63fa2a7f47c017d9,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,1,39,统计学,M0-冲突优先双人核页,双人复核,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-21d98b5e431d0c3e,aab17a203ef4c1e5217347031856aee078c539f18dc6d1be3ace211a75953297,592ee268e271c44be6aabe4f2993c783cb4daf015eb6c4e86850576e179a5f66,x=0.448000-0.957000;y_bottom_origin=0.254204-0.351667,true,true,false,true,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-5cdce621c60c9668,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-5cdce621c60c9668,P0IMMEDIATE-93d6ef9e03518bf5,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,169-right,专业计划数,2,40,人工智能,M4-高校补缺线索核PDF,三方线索优先核验,EXEC-03-高校辅证线索三方核验,R0-未开始PDF和湖北官方核验,P0CROP-4061e60da29b09c6,54bf5f7b8673488984eafc5b94142f488b6b1c7e0935649cf4a27b31704b00cd,a4dd92afd653077220a990e2491e1ff3cf1e9759b200cca6d42c31ada836161a,x=0.448000-0.957000;y_bottom_origin=0.243894-0.351667,false,true,false,false,false,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
