第一闭环事实进度页列汇总ID,来源第一闭环事实进度账本,来源第一闭环公开证据地图,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,来源页码,版面列,页码版面键,执行泳道,页列主阻断,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及专业行数,涉及院校代码数,事实类型分布,字段类别分布,PDF原页进度桶分布,OCR提示进度桶分布,机器坐标进度桶分布,高校官网辅证进度桶分布,冲突进度桶分布,湖北官方侧进度桶分布,双人复核进度桶分布,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,私有页图SHA256,私有OCR文本SHA256,私有页列CSV_SHA256,私有页列HTML_SHA256,事实范围集合SHA16,任务集合SHA16,专业行集合SHA16,院校代码集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,完成条件,页列下一步核验动作,公开安全策略
FCFACTPAGE-9453ddd744d297c5,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,11,53,right,053-right,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-学费×1,学费×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,456f4a85c05162755dbb1ae8671fe9f91cf9bf578f5ba7721a8e3c057604284b,04fc62dd68730ba7e918b57c9a7d2931afab76e766459e1dca014fd41df77a67,f70b8d8c12a4e16ee3101bacb65e1d8679dcf331bbc21d560bacc6937cb62f34,1ad7232f60919840df40ed73c1341308f263d8355a1b9f6e0b9a78cd5f59ea50,a2963e9e29b15256,d50f1d6657cd1231,7d8e09ba1e0d5a65,1b9997d0d2b2ce31,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-49dfd962eacfb463,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,12,56,left,056-left,E0-冲突异常双人优先核验,B0-PDFOCR与高校辅证冲突,32,30,1,1,16,9,2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×15；字段事实-再选科目×7；字段事实-学费×8,专业计划数×15；再选科目×7；学费×9,P0-有冲突线索，PDF原页优先人工核验×3；P1-有机器坐标提示，仍待PDF原页人工核验×5；P2-有PDFOCR提示，仍待PDF原页人工确认×20；P3-无稳定OCR提示，需人工看PDF原页×3；pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×3；O2-高校有线索但PDFOCR缺候选×18；O3-仅PDFOCR候选待人工核页×2；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×26；M1-有机器坐标提示可辅助定位×5；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；S1-有高校辅证线索或自动官网任务，待私有辅证记录×30；for_double_check_only_not_official_plan_replacement×1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；C1-高校补缺线索，PDF原页缺候选需人工看图×18；C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×8；P3-单点冲突，随同页列材料完成核验×1,pending_hubei_official_plan_review×32,double_review_not_required×28；pending_double_review×4,32,4,30,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,44c5a7bde2f4747e5e502a3aced01d4d98962055d18f710326d2109d07a5b276,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,eb529bdba7f5711b,ba8efc01022de607,a167e8a939199069,e171c52ec8cc8e00,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-f96632d08a87c463,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,13,57,left,057-left,E2-官网未匹配专业名归属核验,B3-仅PDFOCR候选待人工确认,4,2,1,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,专业计划数×1；专业计划数；学费×1；学费×1,P2-有PDFOCR提示，仍待PDF原页人工确认×3；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×3；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×3；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×3；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×3；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×4,double_review_not_required×3；double_review_not_required_or_task_level×1,0,0,2,84a344a8b022584fd78721abd6e1af9b81d95309e66439a5630a6aed1dd08daf,0055cdb00054c9bd3fba9fc7caaacc5e8d63ecf51acd79ce977866808128d8af,87a334eda4a4b2139036abf4dd95fa2c1913c71df676d29106b51085e2fffeec,95278c81a4212b09d4508563183ba32f5874acbf23f90089c6317e488b44407f,9a70a3aec90e4c89,caa6b829247f35e8,ead8ad89af4a8920,8f84db9a9b75369c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-e6bb7a68cf2f9948,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,14,70,left,070-left,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,4,2,1,1,2,2,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1,专业计划数×1；再选科目×2,P1-有机器坐标提示，仍待PDF原页人工核验×1；P2-有PDFOCR提示，仍待PDF原页人工确认×2；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×2；O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×2；M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；S1-有高校辅证线索或自动官网任务，待私有辅证记录×2；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×4,double_review_not_required×2；double_review_not_required_or_task_level×1；pending_double_review×1,0,1,2,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,8c63d3c1beb34f1581118eee112ddd7131a1353c7836c8f4d885bf507efde235,5e6958633b34cb554a66725b4c143b040b5496cda7f4d9da48fd12aa03b028b3,4e695efc8e6e2c3d441771c8eb054c45d2a78fa1913d9cf1e8762b28e0659a07,a651ea37f3c11e91,4d3edfee1e74ceda,33e0352746154fab,9fd3efd1c6e4aa5c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-f8f6bd246859ef8f,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,15,70,right,070-right,E2-官网未匹配专业名归属核验,B3-仅PDFOCR候选待人工确认,31,19,11,1,11,11,1,专业名归属事实×11；专业组边界事实×1；字段事实-专业计划数×7；字段事实-再选科目×1；字段事实-学费×11,专业计划数×7；专业计划数；学费×6；专业计划数；学费；再选科目×1；再选科目×1；学费×15,P2-有PDFOCR提示，仍待PDF原页人工确认×30；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×30；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×30；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×30；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×30；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×31,double_review_not_required×30；double_review_not_required_or_task_level×1,0,0,19,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,8c63d3c1beb34f1581118eee112ddd7131a1353c7836c8f4d885bf507efde235,4592b37668f26f5e598f62134a7f5eee1dfaccbf5d6f05f9650e1f4d250141dd,5c7dd2185cb271b7b92d5c818f50da07c6181dec321d83ed5f6429dd748d9e5f,234c294680177548,361dcd0eb0b9fc64,9653fb20d443d3dc,9fd3efd1c6e4aa5c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-436561705643ed1d,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,16,80,right,080-right,E2-官网未匹配专业名归属核验,B1-缺PDFOCR候选需人工看图,38,19,18,1,18,18,1,专业名归属事实×18；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×17；字段事实-学费×1,专业计划数×1；专业计划数；学费×1；再选科目×34；学费×1,P2-有PDFOCR提示，仍待PDF原页人工确认×3；P3-无稳定OCR提示，需人工看PDF原页×34；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×3；O5-无公开OCR候选提示×34；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×37；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×37；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×3；C4-无可比候选，需人工看图或随页列闭环×34；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×38,double_review_not_required×3；double_review_not_required_or_task_level×1；pending_double_review×34,0,34,36,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,ec3dbfa287d7cf94e3a37cb7b5db46bcb277f080af827a7ef4e47499960798b1,294c64716871cf6627b2a5ee531d809b9b7a372d2766779a7f1d4703b3eef2d6,46f5aaa70395380f6139226e5f9d2847a28e645ba0bb9e2438ba96ee91bd98be,39f49d044d6c7dcf,b88cbc7c0a804165,7054f44d7a0171e6,f0d53abbf1e2b5c3,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,先人工看PDF原页补字段记录；再回连湖北官方侧和高校辅证记录。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-566910e5591006db,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,17,81,left,081-left,E2-官网未匹配专业名归属核验,B3-仅PDFOCR候选待人工确认,4,2,1,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,专业计划数×1；专业计划数；学费×1；学费×1,P2-有PDFOCR提示，仍待PDF原页人工确认×3；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×3；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×3；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×3；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×3；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×4,double_review_not_required×3；double_review_not_required_or_task_level×1,0,0,2,88e8264c3f18f63a1343fd197fa808d7d42897f73b041c25b2729650a6ed4d8a,1e163ac65473bc0aa14b43a6192a4d93f1ab38bea4e694f1d4fb0b204d728302,7ec493cbff840557f51b1d4f428f1eb40247557db609298eac1cb733c5b9d740,b1f5ba448a454d786ec54d30480a64f3f72d73bddaca59c6f28e32079e87135f,f9fd416212b9c743,e98fe92f2fbf49df,a860b790ee02b99b,f0d53abbf1e2b5c3,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-ccac3d29a794177b,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,18,82,right,082-right,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,3,2,0,1,2,2,1,专业组边界事实×1；字段事实-专业计划数×2,专业计划数×2,P1-有机器坐标提示，仍待PDF原页人工核验×2；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×2；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×2；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×2；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×2；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×3,double_review_not_required_or_task_level×1；pending_double_review×2,0,2,2,ea54fcf379dff67e02174997e5e4f027deefe30d7ad6495e4a3a736141e4a9f4,aadacf9c9ff82de142aa9b9e95b6c3c518a643ab0295915e35e0d925e98b65ff,6cfcb6d8c10392641877c77493617d826e8bda87040f13ee4932dc805659ae60,da79f363ec517c799fef01c0cf80bd3f7fcc93f4d78f8c0c021880db859575cd,9d2f3f2040968e21,e3ac0d0fd3ef2f0f,7a7e4536324e6f7f,1ce846951063accf,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-440cbfb88696a9b3,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,19,93,left,093-left,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-学费×1,学费×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,7cb54a1a4f5b8f95638be97026e645bd265dccb4961200367ccf222bb137decf,ffa617e7ea4b20e16bc2475df033099504639a67708e128e4e84cdad596bba31,4a0784f6eff27a7f,ae2df87d63bcf9d1,e0b7b2daef7ffbd5,f4e5570aeafff0fa,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-d6be3fcb12ff43f9,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,20,96,right,096-right,E2-官网未匹配专业名归属核验,B3-仅PDFOCR候选待人工确认,3,1,1,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-学费×1,学费×2,P2-有PDFOCR提示，仍待PDF原页人工确认×2；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×2；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×2；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×2；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×2；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×3,double_review_not_required×2；double_review_not_required_or_task_level×1,0,0,1,9018005425e6c32672316c5a46908b04de1658cf2732dcd68be62448f5a88be4,decca3dfd2654307bbbb8bb18ec930019fa01cd6ec28f1678eaa03ae291c5a62,558572fba57a55069da273977fc842490fce5111317cfa67e453982f4f13e17e,f43a497e3211927403a4ce63cb3af2bb40add38e89cb9cc72cf9b9732e25fa53,57e23f400a952a3d,952f2610c4fdd1ef,d1a6045fb010ccb0,4a75d61ffc947153,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-7a49e3a90213d8a4,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,21,102,left,102-left,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,9a2d0b25c49680d3e33faa1b6a65da26eb1e36923eb247bbe720350a07c429c1,062a9878170a71cb17e85d50eb2370e46e0a20bbf5cf1102b289931884d7e81b,1c76961761a019588012d5827ce98d5d322559b56daa557e745de341fa31a14b,0da510ab3b9f8c96760796c35005441fa04210ed1ca61c5945a2ce7a7f31f25f,e1c929bd28889199,8ae05f0f2e1cac11,2d153a8b3c86c424,761de3869be98128,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-22d38f2cb9b80476,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,22,109,left,109-left,E1-计划数补缺或偏大优先核验,B1-缺PDFOCR候选需人工看图,15,14,0,1,8,4,1,专业组边界事实×1；字段事实-专业计划数×8；字段事实-再选科目×2；字段事实-学费×4,专业计划数×8；再选科目×2；学费×4,P2-有PDFOCR提示，仍待PDF原页人工确认×10；P3-无稳定OCR提示，需人工看PDF原页×4；pending_pdf_page_review×1,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×10；O5-无公开OCR候选提示×4；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×14；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×14；for_double_check_only_not_official_plan_replacement×1,C2-多源有一致线索，仍待湖北官方侧闭环×10；C4-无可比候选，需人工看图或随页列闭环×4；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×15,double_review_not_required×12；double_review_not_required_or_task_level×1；pending_double_review×2,0,2,14,533edd540e60b82207ab620eebfe0228378dafe8f0faa4eb9d8e9a32c656f5ed,dda5ab96dfb245083f70f722239b426934d4da0592aec2d5ab1fda0307e670f9,83b62e3e4c1213ca52d3ad72cc882a55d2c08d1923e3c00773e5eaefd4fb9d7e,229c11845f67b247fd4d5f8cfecab9acee48b2713c965786ef24a9939364e4d1,ca9ee928e43a2526,3bb933eefdfbe31d,08dc9f70ba4d15bd,53ebdedba422190c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,先人工看PDF原页补字段记录；再回连湖北官方侧和高校辅证记录。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
