D0工作台ID,来源逐专业复核队列ID,招生明细主表行ID,来源期号,来源PDF_SHA256,数据阶段,最终可用,D0问题类型,核验结论状态,院校代码,院校名称OCR,建议完整院校名称,建议来源,建议证据强度,同代码专业组标题建议名称一致性,历年投档线命中年份,历年投档线院校名线索,历年投档线样例,是否需要历年代码校名佐证,代码冲突标记,疑似字符混淆,修正建议状态,2026院校专业组代码,专业组标题OCR原文,来源页码,版面列,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,页面OCR是否出现候选组号,页面OCR命中页码,同校第19期OCR专业组,同校第19期OCR页码,页面组号异常类型,页面组号异常规则ID,专业行来源,是否真实招生明细,是否0明细占位,专业代号OCR,专业名称及备注OCR,专业计划数OCR候选,学费OCR候选,专业字段完整性标记,同组调剂机器风险,是否可自动写回主表,可进入下一阶段,下一步
D0-1049d167d233cc43,V3Q-6239320efba86757,V3D-4f43f1896f2b940f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,39,教育技术学（师范类）,25,4000,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-5ea4aa1d422b2312,V3Q-3359a365080532be,V3D-b0383ad868e4543e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,40,教育学（师范类；班主任方向）,15,4000,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-7d19ea809128baca,V3Q-b045bd543b4b2280,V3D-568b3c75ff664e1c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13712,C13712 湖北第二师范学院第 12组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,48,物理学（师范类）院校专业组及专业代号,26,4000,,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-6635eec4d4c7bb80,V3Q-f55faaf50098d75e,V3D-3a7031c87dd3a18a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13712,C13712 湖北第二师范学院第 12组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,49,数学与应用数学（师范类）,102,4000,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-74d0d104dd39d17f,V3Q-bf0fe0424aab8266,V3D-ebd45140d3cdd3d1,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13712,C13712 湖北第二师范学院第 12组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,50,生物科学（师范类）,22,4000,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-2437b98e97fe8276,V3Q-56f3c29b7d70f0d4,V3D-69687e14bf70358c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13712,C13712 湖北第二师范学院第 12组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,51,化学（师范类）,21,4000,missing_subject_candidate;low_ocr_confidence,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-91bf3d201cbef29b,V3Q-64b2c9c6da08c989,V3D-83008176646c9dbe,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13712,C13712 湖北第二师范学院第 12组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,52,化学（师范类：科创班）,50,4000,,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-c70f92424babfba9,V3Q-d7d179878b0ff885,V3D-246d8f58e69f0244,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13714,C13714 湖北第二师范学院第14组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,54,智能制造工程,89,4000,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-b89514af761dac86,V3Q-4dd50022cc7db48d,V3D-cc5d910c593a2bef,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13714,C13714 湖北第二师范学院第14组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,55,机械电子工程,70,5200,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-53336ee3cbb66102,V3Q-60fbf8324278d5ee,V3D-7db28749ba774546,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13714,C13714 湖北第二师范学院第14组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,56,人工智能,76,5200,missing_subject_candidate;low_ocr_confidence,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-d7b3f084b2b19037,V3Q-464641c7ca9a3798,V3D-98c9cc42e6f06319,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13714,C13714 湖北第二师范学院第14组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,57,人工智能（机器人方向）,80,5200,,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-353e718e4fa402d8,V3Q-4f2d8e1fdb3968c4,V3D-346f3fb57f131105,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13715,C13715湖北第二师范学院第15 组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,58,计算机类（含计算机科学与技术、软件工程、数据科学与大数据技术专业）,316,5200,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-d4643708a4d51540,V3Q-e6c5dbfb10f7941a,V3D-5a775819f0bfa784,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13718,C13718湖北第二师范学院第18 组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,68,思想政治教育（师范类）,37,4000,,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-677c298b3b3d2b4a,V3Q-abb9868fc21c307f,V3D-ccbd350d4f7359f9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13719,C13719/湖北第二师范学院第 19 组,79,left,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,,,,,,,family_fit_major_detail,true,false,69,计算机科学与技术（中外合作办学）（与新西兰南方理工学院合作，非英语语种慎报）,71,32000,missing_subject_candidate,T1-高：同组存在默认不能接受专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-95964001cefce1f8,V3Q-7d7af693093a4d62,V3D-4d281e60938ca696,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,F012,北京,北京第二外国语学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024,北京第二外国语学院,2023 F01202 【北京第二外国语学院第02组 不限 581；2024 F01202 北京第二外国语学院第02组 不限 576,是,OCR含F/O/P/0易混字符,是,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,F01203,FO1203/北京第二外国语学院第 03组,93,right,page-093,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,093_page-093,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,,,,,,,family_fit_major_detail,true,false,14,智能科学与技术（语言与 AT：外语单科成绩不低于90分；辅修英语专业，合格者同时授予相应辅修学士学位；办学地点：朝阳校区）,,4600,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-3c8ea03a86a1f4fa,V3Q-ca5ae0de6f769083,V3D-8f20242d8d5a3a88,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,F012,北京,北京第二外国语学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024,北京第二外国语学院,2023 F01202 【北京第二外国语学院第02组 不限 581；2024 F01202 北京第二外国语学院第02组 不限 576,是,OCR含F/O/P/0易混字符,是,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,F01203,FO1203/北京第二外国语学院第 03组,93,right,page-093,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,093_page-093,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,,,,,,,family_fit_major_detail,true,false,F0,13 北京物资学院（公办）（北京）,,,missing_subject_candidate;missing_plan_count_candidate;missing_tuition_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-4730c1b8ed8711f4,V3Q-1d5a2692e46f5df1,V3D-4c349c2955012dd2,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,F797,上海,上海第二工业大学,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,上海第二工业大学,2023 F79701 上海第二工业大学第01组 不限 557；2023 F79702 上海第二工业大学第02组 化 557；2024 F79701 上海第二工业大学第01组 化 561；2025 F79701 上海第二工业大学第01组 化 557,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,F79701,F79701上海第二工业大学第01 组,130,left,page-130,5f4cc34e00023f3b0f7ad5848d96cfad915758a7d698abc1d5a7636d78d9eb10,130_page-130,ceccc702e34879c001fd5a8865e00f6fe7052d6b8c367ce901e62a7d316cb4fb,,,,,,,family_fit_major_detail,true,false,01,机械工程,,2,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-8e10f313faee5bf7,V3Q-9bf67fc4afb1e699,V3D-e5ccd08481173060,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,F797,上海,上海第二工业大学,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,上海第二工业大学,2023 F79701 上海第二工业大学第01组 不限 557；2023 F79702 上海第二工业大学第02组 化 557；2024 F79701 上海第二工业大学第01组 化 561；2025 F79701 上海第二工业大学第01组 化 557,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,F79701,F79701上海第二工业大学第01 组,130,left,page-130,5f4cc34e00023f3b0f7ad5848d96cfad915758a7d698abc1d5a7636d78d9eb10,130_page-130,ceccc702e34879c001fd5a8865e00f6fe7052d6b8c367ce901e62a7d316cb4fb,,,,,,,family_fit_major_detail,true,false,02,自动化,,7000,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-8104b23dfc56f8d7,V3Q-888579a0baf9377b,V3D-a682d5feea49f4b1,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,F797,上海,上海第二工业大学,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,上海第二工业大学,2023 F79701 上海第二工业大学第01组 不限 557；2023 F79702 上海第二工业大学第02组 化 557；2024 F79701 上海第二工业大学第01组 化 561；2025 F79701 上海第二工业大学第01组 化 557,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,F79701,F79701上海第二工业大学第01 组,130,left,page-130,5f4cc34e00023f3b0f7ad5848d96cfad915758a7d698abc1d5a7636d78d9eb10,130_page-130,ceccc702e34879c001fd5a8865e00f6fe7052d6b8c367ce901e62a7d316cb4fb,,,,,,,family_fit_major_detail,true,false,03,测控技术与仪器,,2,missing_subject_candidate;missing_plan_count_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
