W0B0最小人工复核明细ID,W0B0最小人工复核包ID,来源第一闭环事实核验包明细,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,包内最小复核序号,最小人工复核包序号,页码版面键,来源页码,版面列,第一闭环事实核验包明细ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,稳定基座第一闭环明细任务ID,专业行ID,专业组出现ID,院校代码,事实域,事实类型,事实粒度,字段名,最小复核类型,复核优先级,页列主阻断,核验动作层级,是否需要人工看图,是否需要双人复核,人工最小复核动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实对象集合SHA256,公开安全策略
W0B0MANITEM-f9af4e53fbc7f11c,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,11,1,135-left,135,left,FIRSTFACTITEM-cad906e525222c54,FIRSTSCOPE-60cb4958ec90cb93,FIRSTFACT-5d1818dc3669f204,FIRSTDETAIL-d3b4542d9cf04623,M-e61c577465bca697,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,21af48bedc6188444f495ce5d141ad30e10e3c677b07a19fbdee4b5a248cdfad,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-fed004c077097a8d,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,12,1,135-left,135,left,FIRSTFACTITEM-f1bd80056363ae1c,FIRSTSCOPE-d0d93c06a3d045c2,FIRSTFACT-af2aa366b08c0ed2,FIRSTDETAIL-9008da4b792e2d9c,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,aa697b1b8daf63554bdaefeb854b373a1228ba7b87f843a40dd6b0c377bbf920,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-f03c69aa81a4fef3,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,13,1,135-left,135,left,FIRSTFACTITEM-d3b25433c19d04e7,FIRSTSCOPE-18753b9ad3a0efe8,FIRSTFACT-dbc499dac580df72,FIRSTDETAIL-0dada9bf9ecaa6e1,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b937f5968a6eb98ffaa9c2f612ed2d9892f3e273894be2ef9c888bc7aba5c2f9,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-13d7da81a8c305d1,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,14,1,135-left,135,left,FIRSTFACTITEM-43bfaca4090ca7dd,FIRSTSCOPE-cdf2408a919e944a,FIRSTFACT-e28afb3b5a592aff,FIRSTDETAIL-0e930ca33ab1b3b9,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,0782bcd543a835c6d76c99c7aaa65298f28deddbb03b49dfcc11e909df7780d1,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-60c3fafc072ebea9,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,15,1,135-left,135,left,FIRSTFACTITEM-a5fbd0105eff08a9,FIRSTSCOPE-b54035da4c9cb0c3,FIRSTFACT-a23dec25aaab8698,FIRSTDETAIL-202127380ebfe86a,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,c18a69b6eed6f97b4da8ae754e7b77835695342a2973e51372db4ae11fac44b5,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-37c6e20f27491acb,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,16,1,135-left,135,left,FIRSTFACTITEM-eae1152d353f1586,FIRSTSCOPE-e421b5e74982f10d,FIRSTFACT-2605da34f44b68d8,FIRSTDETAIL-28da3744d1bbd3b1,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,cbdcb049abfa5e96ac049000902e3b6034ba6fdd86d848301172afe605ff5900,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-d5f54a8d31b5df63,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,17,1,135-left,135,left,FIRSTFACTITEM-8875d19660503e8e,FIRSTSCOPE-19bf840a793e0d77,FIRSTFACT-e464c6d5d469f51a,FIRSTDETAIL-726fddd63013332a,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,578aeed43aadbd3ce00cad6ac1baa4309cbb16367ceb9e162d76e8bab3a5a5e4,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-90efbb807cbefe18,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,18,1,135-left,135,left,FIRSTFACTITEM-87cca7186875cf7f,FIRSTSCOPE-6131c40aa17e5a22,FIRSTFACT-edb4b689d4bf25c0,FIRSTDETAIL-9008da4b792e2d9c,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,039841da7f897adab42d960cb56423a87d3b691ad4eecaec0dbf6bb86760ffba,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-1261f84e49d3b88f,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,19,1,135-left,135,left,FIRSTFACTITEM-aa7fe73305dcb3ae,FIRSTSCOPE-f269f651675afee5,FIRSTFACT-8308e13f1a259240,FIRSTDETAIL-98835066fcfb9b8c,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,8d7e4d934255c0e69afd1bc097d79038466fa1816a405fbedbca414ed13ef264,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-a18610c6474a5c9b,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,20,1,135-left,135,left,FIRSTFACTITEM-bcdfa0bb30108826,FIRSTSCOPE-9f48862bd32fdb9e,FIRSTFACT-1f4225f66f5bd3b5,FIRSTDETAIL-9d2efbd617a42fa2,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,f6df1c809ab205a1036c1f3d5f3c2307ac9321926964b783a8eb6569f4095607,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
